"","WOE_W1","W1","Prob_Win"
"1",-1.19392246847243,"Na3",0.25612280498641
"2",-0.39010972002497,"Nc3",0.430744158789333
"3",0.141288263844068,"Nf3",0.560140942115796
"4",0.59783700075562,"Nh3",0.665736108168215
"5",0.464305608131098,"a3",0.636026038401848
"6",-1.07613943281605,"a4",0.278715846919873
"7",0.0520145349525335,"b3",0.538494381818515
"8",0.192371892647456,"b4",0.572430592736993
"9",0.0870113769896297,"c3",0.547002120155857
"10",0.142071154172657,"c4",0.56032988653095
"11",-0.622665105521526,"d3",0.375985383423779
"12",0.00783166019568527,"d4",0.527722024927155
"13",-0.760548572247194,"e3",0.344864124289332
"14",0.0223411469285886,"e4",0.531262967574619
"15",-0.413763910922859,"f3",0.425071828102863
"16",-0.192160005794242,"f4",0.478785995262492
"17",-0.214656937436891,"g3",0.47328928844327
"18",-0.928219302739429,"g4",0.308756337808729
"19",0.241162056816888,"h3",0.584085823171776
"20",-1.29928298413026,"h4",0.23695829163492
